ID,DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region (HRR) Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments,Provider Latitude,Provider Longitude
29,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,509 BILTMORE AVE,ASHEVILLE,NC,28801,NC - Asheville,29,21587.2069,6201.103448,5299.62069,35.576583,-82.549222
30,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST  PO BOX HP-5,HIGH POINT,NC,27261,NC - Winston-Salem,12,15185.5,5664.25,4991.916667,35.95,-80
31,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340014,FORSYTH MEMORIAL HOSPITAL,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,NC - Winston-Salem,19,16106.78947,6037.894737,5311.578947,36.0758078,-80.2977909
32,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE ST,SANFORD,NC,27330,NC - Durham,13,19223.15385,5370.615385,4309.076923,35.4689369,-79.1866809
33,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340027,LENOIR MEMORIAL HOSPITAL,100 AIRPORT RD,KINSTON,NC,28501,NC - Greenville,13,11111.15385,5974.538462,5266.846154,35.290527,-77.583071
34,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE P O BOX 2000,FAYETTEVILLE,NC,28302,NC - Raleigh,34,24286.23529,6778.088235,5648.529412,35.0326463,-78.9320945
35,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3708 DUMC  ERWIN RD,DURHAM,NC,27710,NC - Durham,39,31435.76923,9232.538462,7781.923077,36.0083926,-78.9394587
36,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340032,GASTON MEMORIAL HOSPITAL,2525 COURT DR,GASTONIA,NC,28052,NC - Charlotte,34,19406.20588,6155.117647,5310.058824,35.2734149,-81.1368781
37,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340040,VIDANT MEDICAL CENTER,"2100 STANTONSBURG RD, PO BOX 6028",GREENVILLE,NC,27835,NC - Greenville,69,25392.15942,8992.144928,8260.188406,35.607262,-77.404766
38,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,NC - Winston-Salem,37,20986.43243,9310.891892,8564.297297,36.0906186,-80.2716076
39,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27 ST  PO BOX 1408,LUMBERTON,NC,28359,NC - Durham,59,21823.13559,7135.677966,6220.084746,34.637229,-79.012133
40,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607,TN - Johnson City,16,10880.8125,6662.5,5660,36.198777,-81.652227
41,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340053,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,NC,28233,NC - Charlotte,24,16126.08333,6136.708333,5321.875,35.2219554,-80.8328724
42,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,NC,27514,NC - Durham,47,25705.14894,10679.95745,9578.510638,35.9052623,-79.0509735
43,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON ST,WHITEVILLE,NC,28472,NC - Wilmington,14,10480.5,6546.928571,5562.928571,34.33747,-78.694254
44,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340069,"WAKEMED, RALEIGH CAMPUS",3000 NEW BERN AVE,RALEIGH,NC,27610,NC - Raleigh,53,23705.30189,6880.924528,5874.264151,35.7852802,-78.5883785
45,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL RD,BURLINGTON,NC,27216,NC - Durham,11,9263.090909,5447.181818,4613,36.063466,-79.502078
46,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340071,BETSY JOHNSON REGIONAL  HOSPITAL,800 TILGHMAN DR,DUNN,NC,28334,NC - Raleigh,11,17129.81818,6991.181818,6472.272727,35.307153,-78.634739
47,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340091,"MOSES H CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,GREENSBORO,NC,27401,NC - Greensboro,42,12891.07143,6387.190476,5100.261905,36.0909698,-79.786519
48,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340098,CAROLINAS MED CENTER-MERCY,2001 VAIL AVE,CHARLOTTE,NC,28207,NC - Charlotte,15,22049.8,5389.666667,4546.733333,35.2103414,-80.8206209
49,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,NC - Charlotte,45,20808,8598.733333,7164.933333,35.2039422,-80.8391434
50,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607,NC - Raleigh,46,19540.52174,6063,4151.391304,35.8179864,-78.7029576
51,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,PINEHURST,NC,28374,NC - Durham,62,15293.6129,5627.790323,4829.919355,35.205542,-79.456449
52,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340123,RANDOLPH HOSPITAL,364 WHITE OAK STREET,ASHEBORO,NC,27204,NC - Greensboro,11,12081.09091,5871.272727,4927.636364,35.711402,-79.8144409
53,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340126,WILSON MEDICAL CENTER,1705 S TARBORO ST,WILSON,NC,27893,NC - Raleigh,11,30183.45455,6297.727273,5257.727273,35.718497,-77.9451799
54,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340131,CAROLINA EAST MEDICAL CENTER,2000 NEUSE BLVD,NEW BERN,NC,28560,NC - Greenville,27,9962.925926,6534.444444,5642.444444,35.114204,-77.065681
55,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340141,NEW HANOVER REGIONAL MEDICAL CENTER,2131 S 17TH ST BOX 9000,WILMINGTON,NC,28402,NC - Wilmington,43,15950.39535,6546.162791,5796.209302,34.2378598,-77.9476394
56,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340147,NASH GENERAL HOSPITAL,2460 CURTIS ELLIS DRIVE,ROCKY MOUNT,NC,27804,NC - Raleigh,23,13927.26087,6836,5937.565217,35.978428,-77.852104
57,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340155,DURHAM REGIONAL HOSPITAL,3643 N ROXBORO ROAD,DURHAM,NC,27704,NC - Durham,23,16756.91304,6040.173913,4572.73913,36.0558699,-78.9034991
58,057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,340173,"WAKEMED, CARY HOSPITAL",1900 KILDARE FARM ROAD,CARY,NC,27518,NC - Raleigh,29,25893.41379,5314.068966,4640.551724,35.740747,-78.781718
59,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340001,CAROLINAS MEDICAL CENTER-NORTHEAST,920 CHURCH ST N,CONCORD,NC,28025,NC - Charlotte,125,27783.288,11497.56,10651.544,35.43802,-80.601489
60,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340002,MEMORIAL MISSION HOSPITAL AND ASHEVILLE SURGERY CE,509 BILTMORE AVE,ASHEVILLE,NC,28801,NC - Asheville,143,25579.38462,11413.06294,10586.7972,35.576583,-82.549222
61,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340004,HIGH POINT REGIONAL HOSPITAL,601 N ELM ST  PO BOX HP-5,HIGH POINT,NC,27261,NC - Winston-Salem,46,28473.58696,10989.04348,9378.086957,35.95,-80
62,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340008,SCOTLAND MEMORIAL HOSPITAL,500 LAUCHWOOD DR,LAURINBURG,NC,28352,NC - Durham,14,26885.85714,10316.85714,9578.857143,34.751245,-79.467888
63,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340010,WAYNE MEMORIAL HOSPITAL,2700 WAYNE MEMORIAL DR,GOLDSBORO,NC,27534,NC - Raleigh,36,21980.69444,12069.72222,11206.05556,35.3977239,-77.9525029
64,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340013,RUTHERFORD HOSPITAL INC,288 SOUTH RIDGECREST AVE,RUTHERFORDTON,NC,28139,NC - Charlotte,12,23010.16667,11452.66667,10589.66667,35.362513,-81.966918
65,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340014,FORSYTH MEMORIAL HOSPITAL,3333 SILAS CREEK PARKWAY,WINSTON-SALEM,NC,27103,NC - Winston-Salem,119,29319.66387,11526.71429,10209.34454,36.0758078,-80.2977909
66,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340015,ROWAN REGIONAL MEDICAL CENTER,612 MOCKSVILLE AVE,SALISBURY,NC,28144,NC - Charlotte,34,26078.5,10252.55882,9248.382353,35.681722,-80.470716
67,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340017,MARGARET R PARDEE MEMORIAL HOSPITAL,800 N JUSTICE ST,HENDERSONVILLE,NC,28791,NC - Asheville,21,16099.95238,9531.904762,8654.571429,35.3208531,-82.4677383
68,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340020,CENTRAL CAROLINA HOSPITAL,1135 CARTHAGE ST,SANFORD,NC,27330,NC - Durham,16,36599.5625,10240.625,9376.625,35.4689369,-79.1866809
69,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340021,CLEVELAND REGIONAL MEDICAL CENTER,201 E GROVER ST,SHELBY,NC,28150,NC - Charlotte,30,25450.56667,11021.26667,9947.133333,35.302883,-81.535711
70,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340027,LENOIR MEMORIAL HOSPITAL,100 AIRPORT RD,KINSTON,NC,28501,NC - Greenville,28,23251,10967.5,9609.571429,35.290527,-77.583071
71,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340028,CAPE FEAR VALLEY MEDICAL CENTER,1638 OWEN DRIVE P O BOX 2000,FAYETTEVILLE,NC,28302,NC - Raleigh,89,61905.35955,13972.23596,13101.23596,35.0326463,-78.9320945
72,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340030,DUKE UNIVERSITY HOSPITAL,PO BOX 3708 DUMC  ERWIN RD,DURHAM,NC,27710,NC - Durham,92,60353.17391,19990.52174,18913.21739,36.0083926,-78.9394587
73,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340032,GASTON MEMORIAL HOSPITAL,2525 COURT DR,GASTONIA,NC,28052,NC - Charlotte,78,30214.94872,11836.42308,10434.47436,35.2734149,-81.1368781
74,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340039,IREDELL MEMORIAL HOSPITAL INC,557 BROOKDALE DR  P O BOX 1828,STATESVILLE,NC,28677,NC - Winston-Salem,21,30903.66667,11191.19048,10367.71429,35.799858,-80.87863
75,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340040,VIDANT MEDICAL CENTER,"2100 STANTONSBURG RD, PO BOX 6028",GREENVILLE,NC,27835,NC - Greenville,204,48323.2549,16947.40686,15717.37255,35.607262,-77.404766
76,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340042,ONSLOW MEMORIAL HOSPITAL,317 WESTERN BOULEVARD,JACKSONVILLE,NC,28540,NC - Greenville,14,42701.07143,12324.92857,11504.5,34.762728,-77.385821
77,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340047,NORTH CAROLINA BAPTIST HOSPITAL,MEDICAL CENTER BOULEVARD,WINSTON-SALEM,NC,27157,NC - Winston-Salem,111,40100.97297,18136.43243,16981.3964,36.0906186,-80.2716076
78,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340050,SOUTHEASTERN REGIONAL MEDICAL CENTER,300 W 27 ST  PO BOX 1408,LUMBERTON,NC,28359,NC - Durham,39,34994.51282,13665.12821,12754.25641,34.637229,-79.012133
79,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340051,WATAUGA MEDICAL CENTER,336 DEERFIELD ROAD,BOONE,NC,28607,TN - Johnson City,11,21170.09091,13159.27273,10416.45455,36.198777,-81.652227
80,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340053,PRESBYTERIAN HOSPITAL,200 HAWTHORNE LANE BOX 33549,CHARLOTTE,NC,28233,NC - Charlotte,62,46625.08065,12307.14516,11584.62903,35.2219554,-80.8328724
81,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340061,UNIVERSITY OF NORTH CAROLINA HOSPITAL,101 MANNING DRIVE,CHAPEL HILL,NC,27514,NC - Durham,117,30862.55556,19064.12821,17392.64103,35.9052623,-79.0509735
82,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340064,WILKES REGIONAL MEDICAL CENTER,1370 WEST D ST,NORTH WILKESBOR,NC,28659,NC - Winston-Salem,13,17818.15385,9231.153846,8697.615385,36.1584434,-81.1571831
83,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340068,COLUMBUS REGIONAL HEALTHCARE SYSTEM,500 JEFFERSON ST,WHITEVILLE,NC,28472,NC - Wilmington,13,28809.76923,12464.92308,11579.38462,34.33747,-78.694254
84,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340069,"WAKEMED, RALEIGH CAMPUS",3000 NEW BERN AVE,RALEIGH,NC,27610,NC - Raleigh,150,51622.62,13626.52667,12216.2,35.7852802,-78.5883785
85,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340070,ALAMANCE REGIONAL MEDICAL CENTER,1240 HUFFMAN MILL RD,BURLINGTON,NC,27216,NC - Durham,26,14852.19231,10014.46154,8709.615385,36.063466,-79.502078
86,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340071,BETSY JOHNSON REGIONAL  HOSPITAL,800 TILGHMAN DR,DUNN,NC,28334,NC - Raleigh,18,27552.83333,12578.83333,12003.5,35.307153,-78.634739
87,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340073,DUKE HEALTH RALEIGH HOSPITAL,3400 WAKE FOREST RD,RALEIGH,NC,27609,NC - Raleigh,21,36089.33333,10772.7619,8946.809524,35.8283144,-78.6181122
88,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340075,CMC-BLUE RIDGE,2201 S STERLING ST,MORGANTON,NC,28655,NC - Charlotte,16,31691.3125,10171.875,9381.625,35.7240071,-81.6587579
89,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340090,JOHNSTON MEMORIAL HOSPITAL,509 BRIGHT LEAF BLVD,SMITHFIELD,NC,27577,NC - Raleigh,20,45142.3,11809,10844.45,35.5031749,-78.344072
90,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340091,"MOSES H CONE MEMORIAL HOSPITAL, THE",1200 N ELM ST,GREENSBORO,NC,27401,NC - Greensboro,122,24546.7623,11649.33607,10801.45082,36.0909698,-79.786519
91,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340097,HUGH CHATHAM MEMORIAL HOSPITAL,180 PARKWOOD DR,ELKIN,NC,28621,NC - Winston-Salem,12,25091.25,10199.41667,9336.416667,36.261809,-80.838577
92,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340098,CAROLINAS MED CENTER-MERCY,2001 VAIL AVE,CHARLOTTE,NC,28207,NC - Charlotte,33,37319.18182,10747.63636,9496.787879,35.2103414,-80.8206209
93,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340099,VIDANT ROANOKE CHOWAN HOSPITAL,500 S ACADEMY ST,AHOSKIE,NC,27910,NC - Greenville,20,25282.8,10858.9,10109.9,36.285553,-76.994887
94,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340107,VIDANT EDGECOMBE HOSPITAL,111 HOSPITAL DR,TARBORO,NC,27886,NC - Greenville,18,26992.55556,10963.72222,10258.61111,35.921155,-77.555852
95,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340109,ALBEMARLE HOSPITAL AUTHORITY,1144 N ROAD ST,ELIZABETH CITY,NC,27909,VA - Norfolk,17,20961.11765,11617.94118,10804.76471,36.323798,-76.2180397
96,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340113,CAROLINAS MEDICAL CENTER/BEHAV HEALTH,1000 BLYTHE BLVD,CHARLOTTE,NC,28203,NC - Charlotte,184,37183.70652,14911.91848,13848.07065,35.2039422,-80.8391434
97,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340114,REX HOSPITAL,4420 LAKE BOONE TRAIL,RALEIGH,NC,27607,NC - Raleigh,71,27330.61972,10474.19718,8461.577465,35.8179864,-78.7029576
98,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340115,FIRSTHEALTH MOORE REGIONAL HOSPITAL,155 MEMORIAL DRIVE,PINEHURST,NC,28374,NC - Durham,68,29421.61765,11328.23529,10320.45588,35.205542,-79.456449
99,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340116,FRYE REGIONAL MEDICAL CENTER,420 N CENTER ST,HICKORY,NC,28601,NC - Hickory,25,49320.68,11145.08,9000.24,35.737525,-81.337137
100,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340119,STANLY REGIONAL MEDICAL CENTER,301 YADKIN ST,ALBEMARLE,NC,28001,NC - Charlotte,28,28916.35714,11007.53571,9783.321429,35.364566,-80.194498
101,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340123,RANDOLPH HOSPITAL,364 WHITE OAK STREET,ASHEBORO,NC,27204,NC - Greensboro,14,21619.78571,10313.85714,9489.857143,35.711402,-79.8144409
102,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340126,WILSON MEDICAL CENTER,1705 S TARBORO ST,WILSON,NC,27893,NC - Raleigh,38,40660.02632,11725.78947,10812.68421,35.718497,-77.9451799
103,064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,340129,LAKE NORMAN REGIONAL MEDICAL CENTER,171 FAIRVIEW ROAD,MOORESVILLE,NC,28117,NC - Charlotte,23,60242.86957,10417.95652,9718.434783,35.5490677,-80.854179
