DRG Definition,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
481 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,81217,50886.84096,12972.16871,11732.33275
482 - HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,26703,42471.38958,10720.39685,9376.757181
491 - BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC,31968,32833.7348,7485.316191,5648.067974
536 - FRACTURES OF HIP & PELVIS W/O MCC,29488,18552.01824,4950.148399,3912.846175
552 - MEDICAL BACK PROBLEMS W/O MCC,60275,24264.04363,6161.942928,4864.480033
563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC,27678,20386.19272,5353.812306,4174.109979
602 - CELLULITIS W MCC,27005,36860.52635,10385.81355,9258.32457
603 - CELLULITIS W/O MCC,142752,21038.68088,6007.254904,4840.934565
638 - DIABETES W CC,53080,22276.58911,5982.507705,4976.00942
640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC,61889,29594.73866,8255.164391,7359.998982
641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC,135709,19116.61736,5022.58341,4064.062811
682 - RENAL FAILURE W MCC,108771,40390.91899,11710.24515,10679.02311
683 - RENAL FAILURE W CC,156685,25745.1893,7143.485165,6155.454485
684 - RENAL FAILURE W/O CC/MCC,28584,17087.04072,4552.624615,3512.899209
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC,74638,29412.93233,8167.312147,7257.292813
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC,197146,20822.23377,5503.430544,4540.281406
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC,31565,41620.91364,12300.60976,10913.14757
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC,31935,27808.43495,7831.334805,6739.777987
811 - RED BLOOD CELL DISORDERS W MCC,32565,33576.97172,9155.135114,8200.807892
812 - RED BLOOD CELL DISORDERS W/O MCC,91502,21586.38736,5793.768246,4811.692564
853 - INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC,48266,143943.2395,41203.72382,38544.98964
870 - SEPTICEMIA OR SEVERE SEPSIS W MV 96+ HOURS,30252,165083.2751,45279.45194,42823.11616
871 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W MCC,347249,50824.54394,13867.78462,12715.07584
872 - SEPTICEMIA OR SEVERE SEPSIS W/O MV 96+ HOURS W/O MCC,122851,29055.98241,7995.163466,6874.565913
885 - PSYCHOSES,100030,19649.69558,7260.893682,6282.951924
897 - ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,40750,16199.65109,5157.424982,4259.633472
917 - POISONING & TOXIC EFFECTS OF DRUGS W MCC,27015,39855.54607,10930.14884,9715.494022
918 - POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,35250,18255.40397,4594.181872,3627.275574
948 - SIGNS & SYMPTOMS W/O MCC,52447,19492.21248,5011.069251,4086.459874
